ts,ppg_raw,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr
1781506364201,2061219,4.2368546,-3.5494733,8.12882,-0.014660766,0.018325957,-0.010995574,70
1781506364240,2061063,4.2703853,-3.6045597,7.9827223,-0.008552114,0.008552114,-0.017104227,70
1781506364281,2061063,4.2703853,-3.6045597,7.9827223,-0.012217305,-0.010995574,-0.004886922,70
1781506364321,2061148,4.24883,-3.6404853,8.066549,0.0061086523,-0.004886922,0.009773844,70
1781506364362,2061489,4.2823606,-3.7267075,8.049784,0.0,0.004886922,0.02076942,70
1781506364401,2062228,4.174583,-3.6356952,8.102475,0.002443461,0.014660766,0.0036651916,70
1781506364440,2064012,4.227274,-3.626115,8.023438,-0.0012217305,0.0,-0.021991149,70
1781506364481,2064012,4.227274,-3.626115,8.023438,0.0012217305,-0.03176499,-0.018325957,70
1781506364520,2064959,4.176978,-3.6021645,8.025833,0.008552114,-0.03176499,0.0036651916,70
1781506364560,2065973,4.227274,-3.6548557,8.080919,0.002443461,0.0012217305,0.002443461,70
1781506364601,2067093,4.3158913,-3.6309052,8.126426,0.0012217305,0.028099801,-0.014660766,70
1781506364643,2068334,4.311101,-3.5111523,8.102475,-0.02443461,0.017104227,-0.019547688,70
1781506364682,2070850,4.24883,-3.6859915,8.006673,-0.012217305,-0.0036651916,-0.004886922,70
1781506364722,2070850,4.24883,-3.6859915,8.006673,0.0012217305,-0.012217305,0.007330383,70
1781506364762,2069870,4.227274,-3.62372,8.08571,0.0036651916,-0.002443461,0.019547688,70
1781506364801,2069870,4.227274,-3.62372,8.08571,0.004886922,0.009773844,0.0036651916,70
1781506364842,2066796,4.2703853,-3.6380904,8.068944,0.0,-0.0012217305,-0.02321288,70
1781506364882,2064561,4.275175,-3.5566585,8.028229,-0.009773844,-0.030543262,-0.021991149,70
1781506364921,2061853,4.2632,-3.6596458,8.083315,0.004886922,-0.02565634,-0.004886922,70
1781506364961,2061853,4.2632,-3.6596458,8.083315,-0.0012217305,0.0036651916,0.0012217305,70
1781506365001,2061395,4.313496,-3.532708,8.092895,-0.0061086523,0.02565634,-0.015882496,70
1781506365041,2061350,4.2464347,-3.671621,8.023438,-0.018325957,0.017104227,-0.019547688,70
1781506365082,2061350,4.2464347,-3.671621,8.023438,-0.007330383,0.0,-0.004886922,70
1781506365121,2061184,4.2799654,-3.6764112,8.047389,-0.0036651916,-0.007330383,0.008552114,70
1781506365162,2061698,4.2248793,-3.62372,8.124031,0.007330383,-0.002443461,0.010995574,70
1781506365201,2062261,4.303916,-3.578214,8.083315,0.0,0.004886922,-0.0012217305,70
1781506365240,2063068,4.2775702,-3.6500657,8.030623,0.010995574,-0.002443461,-0.009773844,70
1781506365284,2063068,4.2775702,-3.6500657,8.030623,0.0061086523,-0.014660766,-0.0012217305,70
1781506365320,2063933,4.3230762,-3.6404853,8.037808,0.004886922,-0.015882496,0.0061086523,70
1781506365362,2064901,4.184163,-3.5997694,8.1000805,0.004886922,0.004886922,-0.004886922,70
1781506365403,2067015,4.2368546,-3.5973744,8.121635,-0.009773844,0.015882496,-0.008552114,70
1781506365442,2068135,4.3158913,-3.6476705,8.0905,0.0,0.018325957,-0.002443461,70
1781506365482,2069229,4.2320642,-3.5710287,8.056969,-0.015882496,-0.0012217305,0.0,70
1781506365521,2069229,4.2320642,-3.5710287,8.056969,0.002443461,-0.0012217305,0.0036651916,70
1781506365565,2070486,4.2847557,-3.6907816,8.0905,0.0012217305,-0.0036651916,-0.0012217305,70
1781506365602,2071741,4.24883,-3.626115,8.059364,-0.0012217305,-0.0061086523,-0.009773844,70
1781506365641,2068976,4.294336,-3.707547,8.009068,0.0036651916,-0.007330383,-0.004886922,70
1781506365681,2068976,4.294336,-3.707547,8.009068,-0.002443461,-0.004886922,0.0012217305,70
1781506365722,2066049,4.303916,-3.6285102,8.126426,0.0,-0.0036651916,-0.002443461,70
1781506365761,2063998,4.2416444,-3.5446832,8.112056,0.0012217305,0.0012217305,-0.0036651916,70
1781506365802,2061430,4.26799,-3.5925844,8.052179,-0.0061086523,0.0061086523,0.0012217305,70
1781506365840,2061430,4.26799,-3.5925844,8.052179,0.0012217305,0.0012217305,-0.004886922,70
1781506365880,2061224,4.26799,-3.6285102,8.1000805,-0.010995574,-0.002443461,-0.004886922,70
1781506365920,2061150,4.339842,-3.5901892,8.049784,0.0012217305,-0.0036651916,-0.004886922,70
1781506365960,2060921,4.217694,-3.6500657,8.035414,-0.004886922,-0.002443461,-0.007330383,70
1781506366000,2060721,4.342237,-3.5758188,7.9970927,-0.007330383,-0.0036651916,-0.0061086523,70
1781506366040,2060921,4.2248793,-3.6141398,8.059364,-0.0012217305,-0.0012217305,-0.0061086523,70
1781506366081,2061390,4.313496,-3.6859915,8.049784,-0.004886922,-0.004886922,-0.0036651916,70
1781506366120,2062942,4.2727804,-3.6069546,8.049784,0.0012217305,-0.0036651916,-0.002443461,70
1781506366160,2062942,4.2727804,-3.6069546,8.049784,-0.0061086523,-0.002443461,-0.0036651916,70
1781506366201,2063875,4.3278666,-3.616535,8.068944,-0.004886922,-0.002443461,-0.007330383,70
1781506366242,2065850,4.3230762,-3.6644359,8.040204,-0.002443461,-0.0012217305,-0.007330383,70
1781506366281,2065850,4.3230762,-3.6644359,8.040204,-0.0036651916,-0.007330383,-0.002443461,70
1781506366320,2068003,4.344632,-3.6692262,7.9923024,-0.0012217305,-0.0012217305,0.0,70
1781506366365,2068003,4.344632,-3.6692262,7.9923024,0.0061086523,0.004886922,-0.0036651916,70
1781506366402,2069103,4.256015,-3.626115,8.0905,-0.012217305,0.0,-0.004886922,70
1781506366441,2071534,4.342237,-3.6812015,8.033018,0.0,0.007330383,-0.0036651916,70
1781506366481,2071534,4.342237,-3.6812015,8.033018,0.008552114,0.0012217305,-0.004886922,70
1781506366521,2072868,4.1865582,-3.5949793,8.049784,-0.002443461,-0.0012217305,0.002443461,70
1781506366561,2069084,4.2057185,-3.6117446,8.066549,0.013439035,-0.002443461,0.0036651916,70
1781506366600,2069084,4.2057185,-3.6117446,8.066549,-0.0012217305,0.0012217305,0.004886922,70
1781506366641,2066151,4.296731,-3.616535,8.047389,-0.002443461,-0.002443461,-0.004886922,70
